"1 HOUR BEFORE","1 DAY BEFORE","OUTPUT"
"6021.33264","7384.97088","6111.11952"
"6111.11952","7696.88676","6784.52112"
"6784.52112","7696.88676","6893.0136"
"6893.0136","6796.368","6932.29536"
"6932.29536","6830.34984","6286.6404"
"6286.6404","7138.05696","6609.46788"
"6609.46788","7003.37664","6541.5042"
"6541.5042","6286.6404","6337.61316"
"6337.61316","6955.67736","6395.7564"
"6395.7564","6453.89964","6618.6648"
"6618.6648","6955.67736","6618.6648"
"6618.6648","5502.25224","6567.2244"
"6567.2244","8218.773","7098.7752"
"7098.7752","8824.3668","8607.6936"
"8607.6936","8213.3172","8607.6936"
"8607.6936","8065.85472","8590.5468"
"8590.5468","7167.3624","8710.5744"
"8710.5744","6755.8392","7613.1792"
"7613.1792","6104.2608","7218.8028"
"7218.8028","5986.72728","5571.46296"
"5571.46296","5865.60852","5519.55492"
"5519.55492","5727.18708","5640.67368"
"5640.67368","5779.09512","5900.99328"
"5900.99328","5398.43616","6354.91584"
"6354.91584","6700.34592","7384.97088"
"7384.97088","7662.90492","7696.88676"
"7696.88676","7238.13192","7696.88676"
"7696.88676","6439.55868","6796.368"
"6796.368","6644.22912","6830.34984"
"6830.34984","6626.92644","7138.05696"
"7138.05696","6730.74252","7003.37664"
"7003.37664","6584.3712","6286.6404"
"6286.6404","6626.92644","6955.67736"
"6955.67736","6592.32108","6453.89964"
"6453.89964","6263.57016","6955.67736"
"6955.67736","6258.582","5502.25224"
"5502.25224","5555.5632","8218.773"
"8218.773","7962.97392","8824.3668"
"8824.3668","8264.7576","8213.3172"
"8213.3172","8058.996","8065.85472"
"8065.85472","7373.124","7167.3624"
"7167.3624","7064.4816","6755.8392"
"6755.8392","6755.8392","6104.2608"
"6104.2608","5467.64688","5986.72728"
"5986.72728","5294.62008","5865.60852"
"5865.60852","5237.568","5727.18708"
"5727.18708","5156.19864","5779.09512"
"5779.09512","5624.1504","5398.43616"
"5398.43616","6292.8756","6700.34592"
"6700.34592","7340.07744","7662.90492"
"7662.90492","7321.6836","7238.13192"
"7238.13192","6721.5456","6439.55868"
"6439.55868","6755.8392","6644.22912"
"6644.22912","6395.7564","6626.92644"
"6626.92644","6367.38624","6730.74252"
"6730.74252","6367.38624","6584.3712"
"6584.3712","6429.2706","6626.92644"
"6626.92644","6394.04172","6592.32108"
"6592.32108","6358.81284","6263.57016"
"6263.57016","6429.2706","6258.582"
